claim,evidence,label,string_evidence
Tetris has sold millions of physical copies.,"['In January 2010 , it was announced that the Tetris franchise had sold more than 170 million copies , approximately 70 million physical copies and over 100 million copies for cell phones , making it the best selling paid-downloaded game of all time .', 'Tetris -LRB- , pronounced -LSB- ˈtɛtrʲɪs -RSB- -RRB- is a tile-matching puzzle video game , originally designed and programmed by Russian game designer Alexey Pajitnov .', ""On 14 March 2014 , The Tetris Company announced a deal to bring Tetris '' to two of the latest hardware platforms , the Xbox One and PlayStation 4 , in partnership with Ubisoft -LRB- publishing -RRB- and SoMa Play -LRB- development -RRB- , to coincide with the franchise 's 30th anniversary ."", ""In 2007 , Tetris came in second place in IGN 's `` 100 Greatest Video Games of All Time '' ."", ""Guinness World Records states that double A-side charity single `` Candle in the Wind 1997 '' / `` Something About the Way You Look Tonight '' -LRB- 1997 -RRB- by Elton John , a tribute to the late Diana , Princess of Wales , is `` the biggest-selling single since UK and US singles charts began in the 1950s , having accumulated worldwide sales of 33 million copies , '' making it the second-best-selling single of all time .""]",SUPPORTS,"In January 2010 , it was announced that the Tetris franchise had sold more than 170 million copies , approximately 70 million physical copies and over 100 million copies for cell phones , making it the best selling paid-downloaded game of all time .|Tetris -LRB- , pronounced -LSB- ˈtɛtrʲɪs -RSB- -RRB- is a tile-matching puzzle video game , originally designed and programmed by Russian game designer Alexey Pajitnov .|On 14 March 2014 , The Tetris Company announced a deal to bring Tetris '' to two of the latest hardware platforms , the Xbox One and PlayStation 4 , in partnership with Ubisoft -LRB- publishing -RRB- and SoMa Play -LRB- development -RRB- , to coincide with the franchise 's 30th anniversary .|In 2007 , Tetris came in second place in IGN 's `` 100 Greatest Video Games of All Time '' .|Guinness World Records states that double A-side charity single `` Candle in the Wind 1997 '' / `` Something About the Way You Look Tonight '' -LRB- 1997 -RRB- by Elton John , a tribute to the late Diana , Princess of Wales , is `` the biggest-selling single since UK and US singles charts began in the 1950s , having accumulated worldwide sales of 33 million copies , '' making it the second-best-selling single of all time ."
Cyndi Lauper won the Best New Artist award at the 27th Grammy Awards in 1985.,"[""Her debut solo album She 's So Unusual -LRB- 1983 -RRB- was the first debut female album to chart four top-five hits on the Billboard Hot 100 -- `` Girls Just Want to Have Fun '' , `` Time After Time '' , `` She Bop '' , and `` All Through the Night '' -- and earned Lauper the Best New Artist award at the 27th Grammy Awards in 1985 ."", 'Since 1989 , Lauper has released nine studio albums and participated in many other projects .', 'Lauper has been celebrated for her humanitarian work , particularly as an advocate for LGBT rights in the United States .', ""She has won awards at the Grammys , Emmys , Tonys , the New York 's Outer Critics Circle , MTV Video Music Awards -LRB- VMAs -RRB- , Billboard Awards , and American Music Awards -LRB- AMAs -RRB- ."", ""VH1 has ranked Lauper No. 58 of the 100 Greatest Women of Rock & Roll '' .""]",SUPPORTS,"Her debut solo album She 's So Unusual -LRB- 1983 -RRB- was the first debut female album to chart four top-five hits on the Billboard Hot 100 -- `` Girls Just Want to Have Fun '' , `` Time After Time '' , `` She Bop '' , and `` All Through the Night '' -- and earned Lauper the Best New Artist award at the 27th Grammy Awards in 1985 .|Since 1989 , Lauper has released nine studio albums and participated in many other projects .|Lauper has been celebrated for her humanitarian work , particularly as an advocate for LGBT rights in the United States .|She has won awards at the Grammys , Emmys , Tonys , the New York 's Outer Critics Circle , MTV Video Music Awards -LRB- VMAs -RRB- , Billboard Awards , and American Music Awards -LRB- AMAs -RRB- .|VH1 has ranked Lauper No. 58 of the 100 Greatest Women of Rock & Roll '' ."
There is a movie called The Hunger Games.,"[""A Movie is a 1958 experimental collage film in which Bruce Conner put together snippets of found footage , taken from B-movies , newsreels , soft-core pornography , novelty short films , and other sources , to a musical score featuring Respighi 's Pines of Rome ."", 'The Hunger Games universe is a dystopia set in Panem , a country consisting of the wealthy Capitol and 12 districts in varying states of poverty .', 'On August 17 , 2012 , Amazon announced The Hunger Games trilogy as its top seller , surpassing the record previously held by the Harry Potter series . The Hunger Games The Hunger Games universe#The Hunger Games trilogy trilogy Harry Potter Harry Potter Amazon Amazon.', 'By the time the film adaptation of The Hunger Games was released in 2012 , the publisher had reported over 26 million Hunger Games trilogy books in print , including movie tie-in books .', 'The series is set in The Hunger Games universe , and follows young characters Katniss Everdeen and Peeta Mellark .']",SUPPORTS,"A Movie is a 1958 experimental collage film in which Bruce Conner put together snippets of found footage , taken from B-movies , newsreels , soft-core pornography , novelty short films , and other sources , to a musical score featuring Respighi 's Pines of Rome .|The Hunger Games universe is a dystopia set in Panem , a country consisting of the wealthy Capitol and 12 districts in varying states of poverty .|On August 17 , 2012 , Amazon announced The Hunger Games trilogy as its top seller , surpassing the record previously held by the Harry Potter series . The Hunger Games The Hunger Games universe#The Hunger Games trilogy trilogy Harry Potter Harry Potter Amazon Amazon.|By the time the film adaptation of The Hunger Games was released in 2012 , the publisher had reported over 26 million Hunger Games trilogy books in print , including movie tie-in books .|The series is set in The Hunger Games universe , and follows young characters Katniss Everdeen and Peeta Mellark ."
Ryan Gosling has been to a country in Africa.,"[""Gosling 's directorial debut Lost River was released in 2014 to poor reviews ."", 'His first starring film role was as a Jewish neo-Nazi in The Believer -LRB- 2001 -RRB- , and he went on to star in several independent films , including Murder by Numbers -LRB- 2002 -RRB- , The Slaughter Rule -LRB- 2002 -RRB- , and The United States of Leland -LRB- 2003 -RRB- .', 'Ryan Thomas Gosling -LRB- born November 12 , 1980 -RRB- is a Canadian actor and musician .', ""He began his career as a child star on the Disney Channel 's Mickey Mouse Club -LRB- 1993 -- 95 -RRB- and went on to appear in other family entertainment programs including Are You Afraid of the Dark ? Disney Channel Disney Channel Mickey Mouse Club Mickey Mouse Club"", 'Africa , particularly central Eastern Africa , is widely accepted as the place of origin of humans and the Hominidae clade -LRB- great apes -RRB- , as evidenced by the discovery of the earliest hominids and their ancestors , as well as later ones that have been dated to around seven million years ago , including Sahelanthropus tchadensis , Australopithecus africanus , A. afarensis , Homo erectus , H. habilis and H. ergaster -- with the earliest Homo sapiens -LRB- modern human -RRB- found in Ethiopia being dated to circa 200,000 years ago . Eastern Africa Eastern Africa human human Hominidae Hominidae clade clade hominids hominids Sahelanthropus tchadensis Sahelanthropus tchadensis Australopithecus africanus Australopithecus africanus A. afarensis Australopithecus afarensis Homo erectus Homo erectus H. habilis Homo habilis H.']",SUPPORTS,"Gosling 's directorial debut Lost River was released in 2014 to poor reviews .|His first starring film role was as a Jewish neo-Nazi in The Believer -LRB- 2001 -RRB- , and he went on to star in several independent films , including Murder by Numbers -LRB- 2002 -RRB- , The Slaughter Rule -LRB- 2002 -RRB- , and The United States of Leland -LRB- 2003 -RRB- .|Ryan Thomas Gosling -LRB- born November 12 , 1980 -RRB- is a Canadian actor and musician .|He began his career as a child star on the Disney Channel 's Mickey Mouse Club -LRB- 1993 -- 95 -RRB- and went on to appear in other family entertainment programs including Are You Afraid of the Dark ? Disney Channel Disney Channel Mickey Mouse Club Mickey Mouse Club|Africa , particularly central Eastern Africa , is widely accepted as the place of origin of humans and the Hominidae clade -LRB- great apes -RRB- , as evidenced by the discovery of the earliest hominids and their ancestors , as well as later ones that have been dated to around seven million years ago , including Sahelanthropus tchadensis , Australopithecus africanus , A. afarensis , Homo erectus , H. habilis and H. ergaster -- with the earliest Homo sapiens -LRB- modern human -RRB- found in Ethiopia being dated to circa 200,000 years ago . Eastern Africa Eastern Africa human human Hominidae Hominidae clade clade hominids hominids Sahelanthropus tchadensis Sahelanthropus tchadensis Australopithecus africanus Australopithecus africanus A. afarensis Australopithecus afarensis Homo erectus Homo erectus H. habilis Homo habilis H."
"Stranger Things is set in Bloomington, Indiana.","['Stranger Things is an American science fiction-horror web television series created , written , directed and co-executive produced by the Duffer Brothers , as well as co-executive-produced by Shawn Levy and Dan Cohen .', ""Set in the fictional town of Hawkins , Indiana in the 1980s , the first season focuses on the investigation into the disappearance of a young boy by his friends , older brother and traumatized mother and the local police chief , amid supernatural events occurring around the town including the appearance of a psychokinetic girl who helps the missing boy 's friends in their own search ."", 'The first season stars Winona Ryder , David Harbour , Finn Wolfhard , Millie Bobby Brown , Gaten Matarazzo , Caleb McLaughlin , Natalia Dyer , Charlie Heaton , Cara Buono , and Matthew Modine , with Noah Schnapp and Joe Keery in recurring roles .', 'On August 31 , 2016 , Netflix renewed the series for a second season of nine episodes , which is set to be released on October 31 , 2017 .', 'The series was released on Netflix on July 15 , 2016 .']",REFUTES,"Stranger Things is an American science fiction-horror web television series created , written , directed and co-executive produced by the Duffer Brothers , as well as co-executive-produced by Shawn Levy and Dan Cohen .|Set in the fictional town of Hawkins , Indiana in the 1980s , the first season focuses on the investigation into the disappearance of a young boy by his friends , older brother and traumatized mother and the local police chief , amid supernatural events occurring around the town including the appearance of a psychokinetic girl who helps the missing boy 's friends in their own search .|The first season stars Winona Ryder , David Harbour , Finn Wolfhard , Millie Bobby Brown , Gaten Matarazzo , Caleb McLaughlin , Natalia Dyer , Charlie Heaton , Cara Buono , and Matthew Modine , with Noah Schnapp and Joe Keery in recurring roles .|On August 31 , 2016 , Netflix renewed the series for a second season of nine episodes , which is set to be released on October 31 , 2017 .|The series was released on Netflix on July 15 , 2016 ."
Ryan Seacrest is a person.,"['He is best known for hosting the talent competition show American Idol , as well as the syndicated countdown program American Top 40 and the KIIS-FM morning radio show On Air with Ryan Seacrest .', 'Seacrest began co-hosting Live with Kelly and Ryan on a permanent basis May 1 , 2017 .', 'Ryan John Seacrest -LRB- born December 24 , 1974 -RRB- is an American radio personality , television host and producer .', ""He received Emmy Award nominations for American Idol , and won an Emmy for producing Jamie Oliver 's Food Revolution ."", 'A person is a being , such as a human , that has certain capacities or attributes constituting personhood , which in turn is defined differently by different authors in different disciplines , and by different cultures in different times and places .']",SUPPORTS,"He is best known for hosting the talent competition show American Idol , as well as the syndicated countdown program American Top 40 and the KIIS-FM morning radio show On Air with Ryan Seacrest .|Seacrest began co-hosting Live with Kelly and Ryan on a permanent basis May 1 , 2017 .|Ryan John Seacrest -LRB- born December 24 , 1974 -RRB- is an American radio personality , television host and producer .|He received Emmy Award nominations for American Idol , and won an Emmy for producing Jamie Oliver 's Food Revolution .|A person is a being , such as a human , that has certain capacities or attributes constituting personhood , which in turn is defined differently by different authors in different disciplines , and by different cultures in different times and places ."
Puerto Rico is not an unincorporated territory of the United States.,"['It is an archipelago that includes the main island of Puerto Rico and a number of smaller ones such as Mona , Culebra , and Vieques .', 'Eleven territories are small islands , atolls and reefs , spread across the Caribbean and Pacific , with no native or permanent populations .', 'Eleven territories are small islands , atolls and reefs , spread across the Caribbean and Pacific , with no native or permanent populations .', 'The United States of America -LRB- USA -RRB- , commonly known as the United States -LRB- U.S. -RRB- or America , is a constitutional federal republic composed of 50 states , a federal district , five major self-governing territories , and various possessions . territories Territories of the United States constitutional constitutional federal republic federal republic states U.S. state federal district Washington, D.C.', 'Territories of the United States are sub-national administrative divisions directly overseen by the United States federal government -LRB- unlike U.S. states , which share sovereignty with the federal government -RRB- . United States United States administrative divisions administrative divisions United States federal government United States federal government U.S. states U.S.']",REFUTES,"It is an archipelago that includes the main island of Puerto Rico and a number of smaller ones such as Mona , Culebra , and Vieques .|Eleven territories are small islands , atolls and reefs , spread across the Caribbean and Pacific , with no native or permanent populations .|Eleven territories are small islands , atolls and reefs , spread across the Caribbean and Pacific , with no native or permanent populations .|The United States of America -LRB- USA -RRB- , commonly known as the United States -LRB- U.S. -RRB- or America , is a constitutional federal republic composed of 50 states , a federal district , five major self-governing territories , and various possessions . territories Territories of the United States constitutional constitutional federal republic federal republic states U.S. state federal district Washington, D.C.|Territories of the United States are sub-national administrative divisions directly overseen by the United States federal government -LRB- unlike U.S. states , which share sovereignty with the federal government -RRB- . United States United States administrative divisions administrative divisions United States federal government United States federal government U.S. states U.S."
Michael Giacchino composed the score for Doctor Strange.,"['The Score -LRB- TV series -RRB- , a television drama series produced by MediaCorp Channel 8', 'The Score -LRB- TV documentary -RRB- , a 2003 TV documentary with Marc Shaiman and produced by Phil Ramone Marc Shaiman Marc Shaiman', 'The Score -LRB- Sports news show -RRB- , a sports news show on ABS-CBN Sports and Action', 'Michael Giacchino -LRB- -LSB- dʒakˈkiːno -RSB- ; born October 10 , 1967 -RRB- is an American composer of music for films , television and video games .', 'The Score -LRB- 1978 film -RRB- , a 1978 Swedish film , released in Sweden as Lyftet']",SUPPORTS,"The Score -LRB- TV series -RRB- , a television drama series produced by MediaCorp Channel 8|The Score -LRB- TV documentary -RRB- , a 2003 TV documentary with Marc Shaiman and produced by Phil Ramone Marc Shaiman Marc Shaiman|The Score -LRB- Sports news show -RRB- , a sports news show on ABS-CBN Sports and Action|Michael Giacchino -LRB- -LSB- dʒakˈkiːno -RSB- ; born October 10 , 1967 -RRB- is an American composer of music for films , television and video games .|The Score -LRB- 1978 film -RRB- , a 1978 Swedish film , released in Sweden as Lyftet"
Stranger than Fiction is a film.,"['A Serbian Film -LRB- Српски филм , Srpski film -RRB- is a 2010 Serbian horror film produced and directed by Srđan Spasojević , in his feature film debut .', ""It tells the story of a financially struggling porn star who agrees to participate in an `` art film '' , only to discover that he has been drafted into a snuff film with child rape and necrophiliac themes ."", 'The film has been banned in Spain , Germany , Australia , New Zealand , Malaysia , Singapore , Norway , and South Korea , and was temporarily banned from screening in Brazil .', 'Upon its debut on the art film circuit , the film received substantial attention for its graphic depictions of rape , necrophilia and child sexual abuse .', 'Fiction is the classification for any story or similar work derived from imagination -- in other words , not based strictly on history or fact .']",SUPPORTS,"A Serbian Film -LRB- Српски филм , Srpski film -RRB- is a 2010 Serbian horror film produced and directed by Srđan Spasojević , in his feature film debut .|It tells the story of a financially struggling porn star who agrees to participate in an `` art film '' , only to discover that he has been drafted into a snuff film with child rape and necrophiliac themes .|The film has been banned in Spain , Germany , Australia , New Zealand , Malaysia , Singapore , Norway , and South Korea , and was temporarily banned from screening in Brazil .|Upon its debut on the art film circuit , the film received substantial attention for its graphic depictions of rape , necrophilia and child sexual abuse .|Fiction is the classification for any story or similar work derived from imagination -- in other words , not based strictly on history or fact ."
Chris Hemsworth appeared in A Perfect Getaway.,"['Hemsworth has also appeared in the science fiction action film Star Trek -LRB- 2009 -RRB- , the thriller adventure A Perfect Getaway -LRB- 2009 -RRB- , the horror comedy The Cabin in the Woods -LRB- 2012 -RRB- , the dark-fantasy action film Snow White and the Huntsman -LRB- 2012 -RRB- , the war film Red Dawn -LRB- 2012 -RRB- , and the biographical sports drama film Rush -LRB- 2013 -RRB- .', 'A Perfect Getaway is a 2009 American adventure psychological thriller film , written and directed by David Twohy , that stars Timothy Olyphant , Milla Jovovich , Kiele Sanchez , and Steve Zahn .', 'Hemsworth will reprise his role as George Kirk in the upcoming Star Trek sequel .', 'The film was originally shot in Puerto Rico and Hawaii and was released on August 7 , 2009 , in the United States and on August 12 in the United Kingdom .', 'Chris Hemsworth -LRB- born 11 August 1983 -RRB- is an Australian actor .']",SUPPORTS,"Hemsworth has also appeared in the science fiction action film Star Trek -LRB- 2009 -RRB- , the thriller adventure A Perfect Getaway -LRB- 2009 -RRB- , the horror comedy The Cabin in the Woods -LRB- 2012 -RRB- , the dark-fantasy action film Snow White and the Huntsman -LRB- 2012 -RRB- , the war film Red Dawn -LRB- 2012 -RRB- , and the biographical sports drama film Rush -LRB- 2013 -RRB- .|A Perfect Getaway is a 2009 American adventure psychological thriller film , written and directed by David Twohy , that stars Timothy Olyphant , Milla Jovovich , Kiele Sanchez , and Steve Zahn .|Hemsworth will reprise his role as George Kirk in the upcoming Star Trek sequel .|The film was originally shot in Puerto Rico and Hawaii and was released on August 7 , 2009 , in the United States and on August 12 in the United Kingdom .|Chris Hemsworth -LRB- born 11 August 1983 -RRB- is an Australian actor ."
Selena recorded music.,"['Selena began recording professionally in 1982 .', 'The youngest child of the Quintanilla family , she debuted on the music scene in 1980 as a member of the band Selena y Los Dinos , which also included her elder siblings A.B. Quintanilla and Suzette Quintanilla . Selena y Los Dinos Selena y Los Dinos Suzette Quintanilla Selena y Los Dinos#Band members A.B. Quintanilla A.B.', 'Selena signed with EMI Latin in 1989 and released her self-titled debut album the same year , while her brother became her principal music producer and songwriter .', 'Music is performed with a vast range of instruments and vocal techniques ranging from singing to rapping ; there are solely instrumental pieces , solely vocal pieces -LRB- such as songs without instrumental accompaniment -RRB- and pieces that combine singing and instruments .', 'The music industry includes the individuals who create new songs and musical pieces -LRB- such as songwriters and composers -RRB- , individuals who perform music -LRB- which include orchestra , jazz band and rock band musicians , singers and conductors -RRB- , individuals who record music -LRB- music producers and sound engineers -RRB- , individuals who organize concert tours , and individuals who sell recordings and sheet music and scores to customers .']",SUPPORTS,"Selena began recording professionally in 1982 .|The youngest child of the Quintanilla family , she debuted on the music scene in 1980 as a member of the band Selena y Los Dinos , which also included her elder siblings A.B. Quintanilla and Suzette Quintanilla . Selena y Los Dinos Selena y Los Dinos Suzette Quintanilla Selena y Los Dinos#Band members A.B. Quintanilla A.B.|Selena signed with EMI Latin in 1989 and released her self-titled debut album the same year , while her brother became her principal music producer and songwriter .|Music is performed with a vast range of instruments and vocal techniques ranging from singing to rapping ; there are solely instrumental pieces , solely vocal pieces -LRB- such as songs without instrumental accompaniment -RRB- and pieces that combine singing and instruments .|The music industry includes the individuals who create new songs and musical pieces -LRB- such as songwriters and composers -RRB- , individuals who perform music -LRB- which include orchestra , jazz band and rock band musicians , singers and conductors -RRB- , individuals who record music -LRB- music producers and sound engineers -RRB- , individuals who organize concert tours , and individuals who sell recordings and sheet music and scores to customers ."
John Wick: Chapter 2 was theatrically released in the Oregon.,"['Oregon -LRB- -LSB- ˈɒrᵻɡən -RSB- -RRB- is a state in the Pacific Northwest region on the West coast of the United States . Pacific Pacific Time Zone state U.S.', 'The state capital , Salem , is the second most populous of its cities , with 164,549 residents , while Portland , with 632,309 residents , is the most populous , ranking as the 26th most populous city in the United States . Salem Salem, Oregon Portland Portland, Oregon state U.S.', 'Oregon is one of the most geographically diverse states in the United States , marked by volcanoes , abundant bodies of water , dense evergreen and mixed forests , as well as high deserts and semi-arid shrublands .', ""The Columbia River delineates much of Oregon 's northern boundary along Washington state , while the Snake River delineates much of its eastern boundary along Idaho . Idaho Idaho Washington Washington (state) state U.S."", 'Today , at 98,000 square miles -LRB- 255,000 km ² -RRB- , Oregon is the ninth largest and , with a population of 4 million , 27th most populous U.S. state . state U.S. state ninth largest List of U.S. states and territories by area 27th most populous List of U.S.']",NOT ENOUGH INFO,"Oregon -LRB- -LSB- ˈɒrᵻɡən -RSB- -RRB- is a state in the Pacific Northwest region on the West coast of the United States . Pacific Pacific Time Zone state U.S.|The state capital , Salem , is the second most populous of its cities , with 164,549 residents , while Portland , with 632,309 residents , is the most populous , ranking as the 26th most populous city in the United States . Salem Salem, Oregon Portland Portland, Oregon state U.S.|Oregon is one of the most geographically diverse states in the United States , marked by volcanoes , abundant bodies of water , dense evergreen and mixed forests , as well as high deserts and semi-arid shrublands .|The Columbia River delineates much of Oregon 's northern boundary along Washington state , while the Snake River delineates much of its eastern boundary along Idaho . Idaho Idaho Washington Washington (state) state U.S.|Today , at 98,000 square miles -LRB- 255,000 km ² -RRB- , Oregon is the ninth largest and , with a population of 4 million , 27th most populous U.S. state . state U.S. state ninth largest List of U.S. states and territories by area 27th most populous List of U.S."
"Robert J. O'Neill was born April 10, 1976.","['', '', ""Robert John O'Neill , -LRB- born 5 November 1936 -RRB- is an Australian historian and academic ."", 'He is Chair of the International Academic Advisory Committee at the United States Studies Centre at the University of Sydney , was director of the International Institute for Strategic Studies , based in London , from 1982 to 1987 , and Chichele Professor of the History of War at the University of Oxford from 1987 to 2000 .']",SUPPORTS,"||Robert John O'Neill , -LRB- born 5 November 1936 -RRB- is an Australian historian and academic .|He is Chair of the International Academic Advisory Committee at the United States Studies Centre at the University of Sydney , was director of the International Institute for Strategic Studies , based in London , from 1982 to 1987 , and Chichele Professor of the History of War at the University of Oxford from 1987 to 2000 ."
Afghanistan is the source of the Kushan dynasty.,"['Afghanistan -LRB- -LSB- æfˈɡænᵻstæn -RSB- Pashto/Dari : , Afġānistān -RRB- , officially the Islamic Republic of Afghanistan , is a landlocked country located within South Asia and Central Asia .', 'The Kushan Empire -LRB- Κυϸανο , Kushano ; कुषाण राजवंश Kuṣāṇ Rājavaṃśa ; BHS : ; 贵霜帝国 , Kušan-xšaθr -RRB- was a syncretic empire , formed by Yuezhi , in the Bactrian territories in the early 1st century .', 'The Kushan Empire -LRB- Κυϸανο , Kushano ; कुषाण राजवंश Kuṣāṇ Rājavaṃśa ; BHS : ; 贵霜帝国 , Kušan-xšaθr -RRB- was a syncretic empire , formed by Yuezhi , in the Bactrian territories in the early 1st century .', 'The Source is a United States-based monthly full-color magazine covering hip-hop music , politics , and culture , founded in 1988 .', 'The Kushans were one of five branches of the Yuezhi confederation , a possibly Iranic or Tocharian , Indo-European nomadic people who migrated from Gansu and settled in ancient Bactria .']",NOT ENOUGH INFO,"Afghanistan -LRB- -LSB- æfˈɡænᵻstæn -RSB- Pashto/Dari : , Afġānistān -RRB- , officially the Islamic Republic of Afghanistan , is a landlocked country located within South Asia and Central Asia .|The Kushan Empire -LRB- Κυϸανο , Kushano ; कुषाण राजवंश Kuṣāṇ Rājavaṃśa ; BHS : ; 贵霜帝国 , Kušan-xšaθr -RRB- was a syncretic empire , formed by Yuezhi , in the Bactrian territories in the early 1st century .|The Kushan Empire -LRB- Κυϸανο , Kushano ; कुषाण राजवंश Kuṣāṇ Rājavaṃśa ; BHS : ; 贵霜帝国 , Kušan-xšaθr -RRB- was a syncretic empire , formed by Yuezhi , in the Bactrian territories in the early 1st century .|The Source is a United States-based monthly full-color magazine covering hip-hop music , politics , and culture , founded in 1988 .|The Kushans were one of five branches of the Yuezhi confederation , a possibly Iranic or Tocharian , Indo-European nomadic people who migrated from Gansu and settled in ancient Bactria ."
Marilyn Monroe worked with Warner Brothers.,"['Pictures and for a time trading as Warner Brothers Pictures , Inc. -RRB- is an American entertainment company , film studio and film distributor that is a division of Time Warner and is headquartered in Burbank , California .', 'When the studio was still reluctant to change her contract , Monroe founded a film production company in late 1954 ; she named it Marilyn Monroe Productions -LRB- MMP -RRB- .', 'Born and raised in Los Angeles , Monroe spent most of her childhood in foster homes and an orphanage and married at the age of sixteen .', ""By 1953 , Monroe was one of the most marketable Hollywood stars , with leading roles in three films : the noir Niagara , which focused on her sex appeal , and the comedies Gentlemen Prefer Blondes and How to Marry a Millionaire , which established her star image as a `` dumb blonde '' ."", 'While working in a factory in 1944 as part of the war effort , she was introduced to a photographer from the First Motion Picture Unit and began a successful pin-up modeling career .']",NOT ENOUGH INFO,"Pictures and for a time trading as Warner Brothers Pictures , Inc. -RRB- is an American entertainment company , film studio and film distributor that is a division of Time Warner and is headquartered in Burbank , California .|When the studio was still reluctant to change her contract , Monroe founded a film production company in late 1954 ; she named it Marilyn Monroe Productions -LRB- MMP -RRB- .|Born and raised in Los Angeles , Monroe spent most of her childhood in foster homes and an orphanage and married at the age of sixteen .|By 1953 , Monroe was one of the most marketable Hollywood stars , with leading roles in three films : the noir Niagara , which focused on her sex appeal , and the comedies Gentlemen Prefer Blondes and How to Marry a Millionaire , which established her star image as a `` dumb blonde '' .|While working in a factory in 1944 as part of the war effort , she was introduced to a photographer from the First Motion Picture Unit and began a successful pin-up modeling career ."
The Silence of the Lambs was a film starring Scott Glenn.,"['The Lambs , Inc. -LRB- aka The Lambs Club -RRB- is a social club in New York City for actors , songwriters , and others involved in the theater .', 'Theodore Scott Glenn -LRB- born January 26 , 1941 -RRB- , better known as Scott Glenn , is an American actor .', 'Theodore Scott Glenn -LRB- born January 26 , 1941 -RRB- , better known as Scott Glenn , is an American actor .', '', '']",SUPPORTS,"The Lambs , Inc. -LRB- aka The Lambs Club -RRB- is a social club in New York City for actors , songwriters , and others involved in the theater .|Theodore Scott Glenn -LRB- born January 26 , 1941 -RRB- , better known as Scott Glenn , is an American actor .|Theodore Scott Glenn -LRB- born January 26 , 1941 -RRB- , better known as Scott Glenn , is an American actor .||"
Peggy Sue Got Married is a Egyptian film released in 1986.,"['Peggy Sue Got Married is a 1986 American comedy-drama film directed by Francis Ford Coppola starring Kathleen Turner as a woman on the verge of a divorce , who finds herself transported back to the days of her senior year in high school in 1960 .', 'Peggy Sue Got Married is a 1986 American comedy-drama film directed by Francis Ford Coppola starring Kathleen Turner as a woman on the verge of a divorce , who finds herself transported back to the days of her senior year in high school in 1960 .', 'The film was written by husband and wife team Jerry Leichtling and Arlene Sarner .', 'The film was written by husband and wife team Jerry Leichtling and Arlene Sarner .', ""`` Walk Like an Egyptian '' is a song made famous by American band The Bangles .""]",REFUTES,"Peggy Sue Got Married is a 1986 American comedy-drama film directed by Francis Ford Coppola starring Kathleen Turner as a woman on the verge of a divorce , who finds herself transported back to the days of her senior year in high school in 1960 .|Peggy Sue Got Married is a 1986 American comedy-drama film directed by Francis Ford Coppola starring Kathleen Turner as a woman on the verge of a divorce , who finds herself transported back to the days of her senior year in high school in 1960 .|The film was written by husband and wife team Jerry Leichtling and Arlene Sarner .|The film was written by husband and wife team Jerry Leichtling and Arlene Sarner .|`` Walk Like an Egyptian '' is a song made famous by American band The Bangles ."
Andy Roddick lost 5 Master Series between 2002 and 2010.,"['In 2015 , Roddick played for the Austin Aces in World Team Tennis .', 'Roddick reached four other Grand Slam finals -LRB- Wimbledon in 2004 , 2005 , and 2009 , and the US Open in 2006 -RRB- , losing to Roger Federer every time .', ""Roddick was ranked in the top 10 for nine consecutive years between 2002 and 2010 , at year 's end , and won five Masters Series in that period ."", 'On August 30 , 2012 , during the 2012 US Open and on his 30th birthday , Roddick announced that he would retire after the tournament .', 'Following a fourth-round defeat by Juan Martín del Potro , Roddick retired from the sport with the aim of focusing on his foundation , the Andy Roddick Foundation , in future years .']",REFUTES,"In 2015 , Roddick played for the Austin Aces in World Team Tennis .|Roddick reached four other Grand Slam finals -LRB- Wimbledon in 2004 , 2005 , and 2009 , and the US Open in 2006 -RRB- , losing to Roger Federer every time .|Roddick was ranked in the top 10 for nine consecutive years between 2002 and 2010 , at year 's end , and won five Masters Series in that period .|On August 30 , 2012 , during the 2012 US Open and on his 30th birthday , Roddick announced that he would retire after the tournament .|Following a fourth-round defeat by Juan Martín del Potro , Roddick retired from the sport with the aim of focusing on his foundation , the Andy Roddick Foundation , in future years ."
"As the Vietnam War raged in 1969, Yoko Ono and her husband John Lennon did not have two week-long Bed-Ins for Peace.","['The North Vietnamese army was supported by the Soviet Union , China and other communist allies and the South Vietnamese army was supported by the United States , South Korea , Australia , Thailand and other anti-communist allies .', 'With their performance Bed-Ins for Peace in Amsterdam and Montreal in 1969 , Ono and Lennon famously used their honeymoon at the Hilton Amsterdam as a stage for public protests against the Vietnam War .', 'She is the second wife and widow of singer-songwriter John Lennon of the Beatles .', ""In 1968 , John left her for Japanese avant-garde conceptual artist Yoko Ono and as a result , the couple 's divorce was legally granted on 8 November 1968 on the grounds of John 's adultery with Ono ."", 'She first met Lennon in 1966 at her own art exhibition in London , and they became a couple in 1968 .']",REFUTES,"The North Vietnamese army was supported by the Soviet Union , China and other communist allies and the South Vietnamese army was supported by the United States , South Korea , Australia , Thailand and other anti-communist allies .|With their performance Bed-Ins for Peace in Amsterdam and Montreal in 1969 , Ono and Lennon famously used their honeymoon at the Hilton Amsterdam as a stage for public protests against the Vietnam War .|She is the second wife and widow of singer-songwriter John Lennon of the Beatles .|In 1968 , John left her for Japanese avant-garde conceptual artist Yoko Ono and as a result , the couple 's divorce was legally granted on 8 November 1968 on the grounds of John 's adultery with Ono .|She first met Lennon in 1966 at her own art exhibition in London , and they became a couple in 1968 ."
