claim,evidence,label
Chris Hemsworth appeared in A Perfect Getaway.,"Hemsworth has also appeared in the science fiction action film Star Trek -LRB- 2009 -RRB- , the thriller adventure A Perfect Getaway -LRB- 2009 -RRB- , the horror comedy The Cabin in the Woods -LRB- 2012 -RRB- , the dark-fantasy action film Snow White and the Huntsman -LRB- 2012 -RRB- , the war film Red Dawn -LRB- 2012 -RRB- , and the biographical sports drama film Rush -LRB- 2013 -RRB- .",SUPPORTS
Selena recorded music.,Selena began recording professionally in 1982 .,SUPPORTS
John Wick: Chapter 2 was theatrically released in the Oregon.,"John Wick is a 2014 American neo-noir action thriller film directed by Chad Stahelski and David Leitch and starring Keanu Reeves , Michael Nyqvist , Alfie Allen , Adrianne Palicki , Bridget Moynahan , Dean Winters , Ian McShane , John Leguizamo and Willem Dafoe .|Oregon -LRB- -LSB- ˈɒrᵻɡən -RSB- -RRB- is a state in the Pacific Northwest region on the West coast of the United States .",NOT ENOUGH INFO
"Robert J. O'Neill was born April 10, 1976.","Robert J. `` Rob '' O'Neill -LRB- born April 10 , 1976 -RRB- is a former United States Navy sailor .",SUPPORTS
Afghanistan is the source of the Kushan dynasty.,"Afghanistan -LRB- -LSB- æfˈɡænᵻstæn -RSB- Pashto/Dari : , Afġānistān -RRB- , officially the Islamic Republic of Afghanistan , is a landlocked country located within South Asia and Central Asia .|The Kushan Empire -LRB- Κυϸανο , Kushano ; कुषाण राजवंश Kuṣāṇ Rājavaṃśa ; BHS : ; 贵霜帝国 , Kušan-xšaθr -RRB- was a syncretic empire , formed by Yuezhi , in the Bactrian territories in the early 1st century .|The Source is a United States-based monthly full-color magazine covering hip-hop music , politics , and culture , founded in 1988 .|The Kushan Empire -LRB- Κυϸανο , Kushano ; कुषाण राजवंश Kuṣāṇ Rājavaṃśa ; BHS : ; 贵霜帝国 , Kušan-xšaθr -RRB- was a syncretic empire , formed by Yuezhi , in the Bactrian territories in the early 1st century .",NOT ENOUGH INFO
Marilyn Monroe worked with Warner Brothers.,"Marilyn Monroe -LRB- born Norma Jeane Mortenson ; June 1 , 1926 -- August 5 , 1962 -RRB- was an American actress and model .|Warner Bros. .",NOT ENOUGH INFO
The Silence of the Lambs was a film starring Scott Glenn.,"The Silence of the Lambs is a 1991 American horror-thriller film directed by Jonathan Demme and starring Jodie Foster , Anthony Hopkins , and Scott Glenn .",SUPPORTS
Peggy Sue Got Married is a Egyptian film released in 1986.,"Peggy Sue Got Married is a 1986 American comedy-drama film directed by Francis Ford Coppola starring Kathleen Turner as a woman on the verge of a divorce , who finds herself transported back to the days of her senior year in high school in 1960 .|Francis Ford Coppola -LRB- -LSB- pronˈkoʊpələ -RSB- born April 7 , 1939 -RRB- , also credited as Francis Coppola , is a semi-retired American film director , producer , and screenwriter .",REFUTES
Andy Roddick lost 5 Master Series between 2002 and 2010.,"Roddick was ranked in the top 10 for nine consecutive years between 2002 and 2010 , at year 's end , and won five Masters Series in that period .",REFUTES
"As the Vietnam War raged in 1969, Yoko Ono and her husband John Lennon did not have two week-long Bed-Ins for Peace.","As the Vietnam War raged in 1969 , Yoko Ono and her husband John Lennon held two week-long Bed-Ins for Peace , one at the Hilton Hotel in Amsterdam and one at Fairmont The Queen Elizabeth in Montreal , each of which were intended to be non-violent protests against wars , and experimental tests of new ways to promote peace .",REFUTES
Tupac Shakur was born Lesane Parish Crooks.,"Tupac Amaru Shakur -LRB- -LSB- ˈtuːpɑːk_ʃəˈkʊər -RSB- ; born Lesane Parish Crooks ; June 16 , 1971September 13 , 1996 -RRB- , also known by his stage names 2Pac , Makaveli , and Pac , was an American rapper , record producer , actor , and poet .",SUPPORTS
Harold Ramis was a veteran.,"Harold Allen Ramis -LRB- November 21 , 1944 -- February 24 , 2014 -RRB- was an American actor , director , writer , and comedian .|A veteran -LRB- from Latin vetus , meaning `` old '' -RRB- is a person who has had long service or experience in a particular occupation or field .",NOT ENOUGH INFO
"The Jim Henson Company produced The Muppet Movie, The Dark Crystal, and Labyrinth.","The company has also produced many films , including The Muppet Movie , The Dark Crystal , and Labyrinth .",SUPPORTS
United Nations was relocated to the United States in 1945.,"The United Nations -LRB- UN -RRB- is an intergovernmental organization to promote international co-operation and to create and maintain international order .|The United States of America -LRB- USA -RRB- , commonly known as the United States -LRB- U.S. -RRB- or America , is a constitutional federal republic composed of 50 states , a federal district , five major self-governing territories , and various possessions .|",NOT ENOUGH INFO
Whoopi Goldberg co-produced an American dance tournament.,"Caryn Elaine Johnson -LRB- born November 13 , 1955 -RRB- , known professionally as Whoopi Goldberg -LRB- -LSB- ˈwhʊpi -RSB- -RRB- , is an American actress , comedian , author and television host .|, abbreviated DDR and also known as Dancing Stage in earlier games in Europe and Australasia , and some other games in Japan , is a music video game series produced by Konami .",NOT ENOUGH INFO
Slovenia uses the euro.,"In 2004 , it entered NATO and the European Union ; in 2007 became the first formerly communist country to join the Eurozone ; and in 2010 joined the OECD , a global association of high-income developed countries .|The eurozone , officially called the euro area , is a monetary union of 19 of the 28 European Union -LRB- EU -RRB- member states which have adopted the euro as their common currency and sole legal tender .",SUPPORTS
Iowa is a part of the Midwestern United States.,"Although the region is often defined in a number of ways , the Census Bureau 's definition consists of 12 states in the north central United States : Illinois , Indiana , Iowa , Kansas , Michigan , Minnesota , Missouri , Nebraska , North Dakota , Ohio , South Dakota , and Wisconsin .",SUPPORTS
Keith Urban is a person who sings.,"Keith Lionel Urban -LRB- born 26 October 1967 -RRB- is a New Zealand-born Australian country musician .|A cantor is a person who leads people in singing , or sometimes in prayer .|A person is a being , such as a human , that has certain capacities or attributes constituting personhood , which in turn is defined differently by different authors in different disciplines , and by different cultures in different times and places .",NOT ENOUGH INFO
Hotell is owned by Lisa Langseth.,"Hotell is a 2013 Swedish drama film written and directed by Lisa Langseth .|Lisa Langseth -LRB- born April 20 , 1975 -RRB- is a Swedish screenwriter and film director .",NOT ENOUGH INFO
Saratoga is an American film from 1937.,Saratoga is a 1937 American romantic comedy film written by Anita Loos and directed by Jack Conway .,SUPPORTS
J. Howard Marshall was a baby.,"James Howard Marshall II -LRB- January 24 , 1905 -- August 4 , 1995 -RRB- was an American businessman , academic , attorney , and government official .|An infant -LRB- from the Latin word infans , meaning `` unable to speak '' or `` speechless '' -RRB- is the more formal or specialised synonym for `` baby '' , the very young offspring of a human or other animal .",SUPPORTS
Grace Jones is a dancer.,"Grace Jones -LRB- born 19 May 1948 -RRB- is a Jamaican born singer , songwriter , lyricist , supermodel , record producer , and actress .",REFUTES
Lisbon has a population larger than 1.,"Lisbon -LRB- -LSB- ˈlɪzbən -RSB- Lisboa , -LSB- liʒˈβoɐ -RSB- -RRB- is the capital and the largest city of Portugal , with a population of 552,700 within its administrative limits in an area of 100.05 km ² .",SUPPORTS
Willie Nelson dropped out of college after three years.,"After his return , Nelson attended Baylor University for two years but dropped out because he was succeeding in music .",REFUTES
Malcolm Young was the co-founder of Australian hard rock band AC/DC.,"Malcolm Mitchell Young -LRB- born 6 January 1953 -RRB- is an Australian retired musician and songwriter , best known as a co-founder , rhythm guitarist , backing vocalist and songwriter for the hard rock band AC/DC .",SUPPORTS
Nice & Slow is a jazz single.,,NOT ENOUGH INFO
Newfoundland and Labrador is the most linguistically homogeneous of Canada.,"The province is Canada 's most linguistically homogeneous , with 97.6 % of residents reporting English -LRB- Newfoundland English -RRB- as their mother tongue in the 2006 census .",SUPPORTS
Furia is adapted from a short story by Anna Politkovskaya.,"Furia is a 1999 French romantic drama film directed by Alexandre Aja , who co-wrote screenplay with Grégory Levasseur , adapted from the science fiction short story `` Graffiti '' by Julio Cortázar .",REFUTES
One state of the United States has Russia to its west.,"The state of Alaska is in the northwest corner of North America , bordered by Canada to the east and across the Bering Strait from Russia to the west .",SUPPORTS
Sophie Turner was born in the 1990s.,Sophie Turner -LRB- born 21 February 1996 -RRB- is an English actress .,SUPPORTS
Mother Teresa was made a saint by the church.,"She was canonised -LRB- recognised by the church as a saint -RRB- on 4 September 2016 , and the anniversary of her death -LRB- 5 September -RRB- is her feast day .",SUPPORTS
The Smurfs (film) was released.,"After having the release date changed three times , Columbia Pictures released The Smurfs on July 29 , 2011 .",SUPPORTS
C. S. Forester's first name was Carl.,"Cecil Louis Troughton Smith -LRB- 27 August 1899 -- 2 April 1966 -RRB- , known by his pen name Cecil Scott `` C. S. '' Forester , was an English novelist known for writing tales of naval warfare such as the 12-book Horatio Hornblower series , depicting a Royal Navy officer during the Napoleonic wars .",REFUTES
Kong: Skull Island is a book.,"Kong : Skull Island is a 2017 American action-adventure monster film directed by Jordan Vogt-Roberts and written by Dan Gilroy , Max Borenstein and Derek Connolly , from a story by John Gatins .",REFUTES
The Challenge was a scripted show.,"The Challenge -LRB- originally known as Road Rules : All Stars , followed by Real World/Road Rules Challenge -RRB- is a reality game show on MTV that is spun off from the network 's two reality shows , Real World and Road Rules .",REFUTES
Berlin is the capital of Germany.,"Berlin -LRB- -LSB- bəɹˈlɪn -RSB- , -LSB- bɛɐ̯ˈliːn -RSB- -RRB- is the capital and the largest city of Germany as well as one of its 16 constituent states .",SUPPORTS
South Korea has a highly educated workforce.,"South Korea is a technologically advanced developed country driven by a highly educated and skilled workforce , having the world 's eighth highest median household income , the highest in Asia .",SUPPORTS
Jimmy Carter led the international boycott of the 2010 Olympics.,"James Earl Carter Jr. -LRB- born October 1 , 1924 -RRB- is an American politician who served as the 39th President of the United States from 1977 to 1981 .|The 1980 Summer Olympics boycott was one part of a number of actions initiated by the United States to protest the Soviet invasion of Afghanistan .|The 1980 Summer Olympics boycott was one part of a number of actions initiated by the United States to protest the Soviet invasion of Afghanistan .|The 2010 Winter Olympics , officially known as the XXI Olympic Winter Games -LRB- French : Les XXIes Jeux olympiques d'hiver -RRB- and commonly known as Vancouver 2010 , informally the 21st Winter Olympics , were a major international multi-sport event held from February 12 to 28 , 2010 , in Vancouver , British Columbia , Canada , with some events held in the surrounding suburbs of Richmond , West Vancouver and the University Endowment Lands , and in the nearby resort town of Whistler .",NOT ENOUGH INFO
Hulk(comics) is a cooking recipe published by Marvel Comics recipe books.,"Hulk may refer to :|Hulk may refer to :|a medium used to express ideas by images , often combined with text or other visual information .|David `` Dave '' McKean -LRB- born 29 December 1963 -RRB- is an English illustrator , photographer , comic book artist , graphic designer , filmmaker and musician .|A recipe is a set of instructions that describes how to prepare or make something , especially a culinary dish .",NOT ENOUGH INFO
"Hacksaw Ridge came out in America on November 4, 2016.","It was released in the United States on November 4 , 2016 , received positive reviews and grossed $ 175.3 million worldwide .",SUPPORTS
The blue-ringed octopus hunts sharks.,"The blue-ringed octopodes -LRB- genus Hapalochlaena -RRB- are three octopus species that live in tide pools and coral reefs in the Pacific and Indian Oceans , from Japan to Australia .|Sharks are a group of elasmobranch fish characterized by a cartilaginous skeleton , five to seven gill slits on the sides of the head , and pectoral fins that are not fused to the head .",NOT ENOUGH INFO
Buddy Holly's dog's name was Tito Rodriguez.,"Buddy Holly -LRB- born Charles Hardin Holley ; September 7 , 1936 -- February 3 , 1959 -RRB- was an American musician and singer-songwriter who was a central figure of mid-1950s rock and roll .|Buddy Holly -LRB- born Charles Hardin Holley ; September 7 , 1936 -- February 3 , 1959 -RRB- was an American musician and singer-songwriter who was a central figure of mid-1950s rock and roll .",NOT ENOUGH INFO
Michael Fassbender is an actor.,Michael Fassbender -LRB- born 2 April 1977 -RRB- is a German-born Irish actor .,SUPPORTS
Red Headed Stranger is a movie.,Red Headed Stranger is a 1975 album by American outlaw country singer Willie Nelson .,REFUTES
Richard Eyre was born on an island.,"Sir Richard Charles Hastings Eyre -LRB- born 28 March 1943 -RRB- is an English film , theatre , television and opera director .",NOT ENOUGH INFO
Paul Bettany has played Vision in at least two works.,"He is known for his voice role as J.A.R.V.I.S. in the Marvel Cinematic Universe , specifically the films Iron Man -LRB- 2008 -RRB- , Iron Man 2 -LRB- 2010 -RRB- , The Avengers -LRB- 2012 -RRB- , Iron Man 3 -LRB- 2013 -RRB- , and Avengers : Age of Ultron -LRB- 2015 -RRB- , in which he also portrayed the Vision , in the Marvel Cinematic Universe for which he garnered praise .|He reprised his role as the Vision in Captain America : Civil War -LRB- 2016 -RRB- .",SUPPORTS
Scotland's Hebrides is widespread and diverse with many islands.,"In addition to the mainland , the country is made up of more than 790 islands , including the Northern Isles and the Hebrides .|The Hebrides -LRB- -LSB- ˈhɛbrᵻdiːz -RSB- Scottish Gaelic : Innse Gall -LRB- -LSB- ĩːʃə gau̯l̪ˠ -RSB- -RRB- ; Old Norse : Suðreyjar -RRB- comprise a widespread and diverse archipelago off the west coast of mainland Scotland .",SUPPORTS
Ricky Martin has cried on TV.,"Enrique Martín Morales -LRB- born December 24 , 1971 -RRB- , commonly known as Ricky Martin , is a Puerto Rican singer , actor and author .|Television or TV is a telecommunication medium used for transmitting moving images in monochrome -LRB- black-and-white -RRB- , or in color , and in two or three dimensions and sound .",NOT ENOUGH INFO
Uzbekistan is a part of the Commonwealth of Independent States (CIS).,"Uzbekistan is a member of the Commonwealth of Independent States -LRB- CIS -RRB- , Organization for Security and Co-operation in Europe -LRB- OSCE -RRB- , UN , and the SCO .",SUPPORTS
Paul Wesley is a professional alias.,"Pawel Tomasz Wasilewski -LRB- born July 23 , 1982 -RRB- , known professionally as Paul Wesley , is an American actor , director , and producer .|A stage name , also called a screen name , is a pseudonym used by performers and entertainers such as actors , comedians , and musicians .",NOT ENOUGH INFO
"Charles, Prince of Wales is patron of numerous other organizations.","Charles 's interests encompass a range of humanitarian and social issues : he founded The Prince 's Trust in 1976 , sponsors The Prince 's Charities , and is patron of numerous other charitable and arts organisations .",SUPPORTS
Chester Bennington is not a singer.,"Chester Charles Bennington -LRB- born March 20 , 1976 -RRB- is an American musician , singer , songwriter and actor .",REFUTES
Vincent Cassel played Jacques Mesrine in at least two films.,Cassel is also renowned for playing the infamous French bank-robber Jacques Mesrine in Mesrine : Killer Instinct and Mesrine : Public Enemy Number One .,SUPPORTS
Pope John Paul II co-stars many actors besides Christopher Lee.,"Pope John Paul II co-stars James Cromwell as Archbishop Adam Stefan Cardinal Sapieha , Ben Gazzara as Agostino Cardinal Casaroli , and Christopher Lee as Stefan Cardinal Wyszyński .",SUPPORTS
David Beckham has zero middle names.,"David Robert Joseph Beckham , -LRB- -LSB- ˈbɛkəm -RSB- born 2 May 1975 -RRB- is an English former professional footballer .",REFUTES
Indiana Jones has only been portrayed by Harrison Ford.,"Jones is most famously played by Harrison Ford and has also been portrayed by River Phoenix -LRB- as the young Jones in The Last Crusade -RRB- and in the television series The Young Indiana Jones Chronicles by Corey Carrier , Sean Patrick Flanery , and George Hall .",REFUTES
Brian Wilson was part of the Beach Boys.,"Brian Douglas Wilson -LRB- born June 20 , 1942 -RRB- is an American musician , singer , songwriter , and record producer best known for being the multi-tasking leader and co-founder of the rock band the Beach Boys .",SUPPORTS
The Existence of God has been argued through the Five Ways.,"The existence of God is a subject of debate in the philosophy of religion , popular culture , and philosophy .|Existence is commonly held to be that which objectively persists independent of one 's presence .|In monotheism , God is conceived of as the Supreme Being and principal object of faith .|For the proofs of God 's existence by Saint Thomas Aquinas see :",NOT ENOUGH INFO
The Great Gatsby centers on a youthful person with over a million dollars.,The story primarily concerns the young and mysterious millionaire Jay Gatsby and his quixotic passion and obsession for the beautiful former debutante Daisy Buchanan .,SUPPORTS
Shane Black and Chris Miller wrote Iron Man 3.,"Shane Black directed a screenplay he co-wrote with Drew Pearce , which uses concepts from the `` Extremis '' story arc by Warren Ellis .",REFUTES
"La La Anthony was conceived on June 25th, 1979.","Alani Nicole `` La La '' Anthony -LRB- née Vázquez ; born June 25 , 1979 -RRB- is a television personality , New York Times best-selling author , business woman , producer and actress .",REFUTES
Led Zeppelin is a band.,Led Zeppelin were an English rock band formed in London in 1968 .,SUPPORTS
"Richard Harris was born on October 25, 2002.",Richard St John Harris -LRB- 1 October 1930 -- 25 October 2002 -RRB- was an Irish actor and singer .,SUPPORTS
The Fosters is a television series.,"The Fosters is an American family drama television series created by Peter Paige and Bradley Bredeweg which first premiered in the United States on June 3 , 2013 on the Freeform -LRB- previously named ABC Family -RRB- television network .",SUPPORTS
Blair is Jonathan Hensleigh's middle name.,"Jonathan Blair Hensleigh -LRB- born February 1959 -RRB- is an American screenwriter and film director , working primarily in the action-adventure genre , best known for writing film such as Jumanji , Die Hard with a Vengeance , and Armageddon , as well as making his own directorial debut with the 2004 comic book action film The Punisher .",SUPPORTS
Filmfare is about cheese.,"Filmfare is an English-language , tabloid-sized magazine about Hindi-language cinema , popularly known as Bollywood .",REFUTES
Buckingham Palace lacks brightly colored scagliola.,"The original early 19th-century interior designs , many of which survive , include widespread use of brightly coloured scagliola and blue and pink lapis , on the advice of Sir Charles Long .",REFUTES
Sarah Paulson makes an appearance in What Women Want.,"Paulson later appeared in comedy films such as What Women Want -LRB- 2000 -RRB- and Down with Love -LRB- 2003 -RRB- , and had dramatic roles in films such as Path to War -LRB- 2002 -RRB- and The Notorious Bettie Page -LRB- 2005 -RRB- .",SUPPORTS
David Harbour is an American.,"David Harbour -LRB- born April 10 , 1974 -RRB- is an American actor who has performed in film , television , and the theatre .",SUPPORTS
Nicole Scherzinger toured 15 times.,"Nicole Scherzinger -LRB- -LSB- niˈkoʊl_ˈʃɜːzɪŋər -RSB- born Nicole Prascovia Elikolani Valiente ; June 29 , 1978 -RRB- is an American recording artist , actress and television personality born in Honolulu , Hawaii and raised in Louisville , Kentucky .|The Times is a British daily -LRB- Monday to Saturday -RRB- national newspaper based in London , England .",NOT ENOUGH INFO
The terrain of Kazakhstan includes taiga.,"The terrain of Kazakhstan includes flatlands , steppe , taiga , rock canyons , hills , deltas , snow-capped mountains , and deserts .",SUPPORTS
Sade (singer) has a song called London.,"Donatien Alphonse François , Marquis de Sade -LRB- 2 June 1740 -- 2 December 1814 -RRB- -LRB- -LSB- maʁki də sad -RSB- -RRB- , was a French aristocrat , revolutionary politician , philosopher , and writer , famous for his libertine sexuality .|Singing is the act of producing musical sounds with the voice and augments regular speech by the use of sustained tonality , rhythm , and a variety of vocal techniques .|A Song is an in-studio album containing the works of American pop star Neil Sedaka .|London -LSB- ˈlʌndən -RSB- is the capital and most populous city of England and the United Kingdom .",NOT ENOUGH INFO
"José María Chacón surrendered the island of Trinidad in 1797, one year before his death.",Don José María Chacón -LRB- 1 January 1749 -- 1 January 1833 -RRB- was the last Spanish Governor of Trinidad .,REFUTES
Liverpool F.C. was valued at $1.55 billion at one point.,"Liverpool was the ninth highest-earning football club in the world for 2014 -- 15 , with an annual revenue of $ 391 million , and the world 's eighth most valuable football club in 2016 , valued at $ 1.55 billion .",SUPPORTS
Land Rover makes cars.,"Land Rover is a car brand that specialises in four-wheel-drive vehicles , owned by British multinational car manufacturer Jaguar Land Rover , which has been owned by India 's Tata Motors since 2008 .",SUPPORTS
Sully is a form of media.,"Sully -LRB- also known as Sully : Miracle on the Hudson -RRB- is a 2016 American biographical drama film directed by Clint Eastwood and written by Todd Komarnicki , based on the autobiography Highest Duty by Chesley Sullenberger and Jeffrey Zaslow .",SUPPORTS
Stanley Tucci performed in an television series.,"He won two Emmy Awards for his performances in Winchell and Monk .|Monk is an American comedy-drama detective mystery television series created by Andy Breckman and starring Tony Shalhoub as the eponymous character , Adrian Monk .",SUPPORTS
Martin Scorsese worked on commission.,"Martin Charles Scorsese -LRB- -LSB- skɔːrˈsɛsi -RSB- -LSB- skorˈseːze -RSB- ; born November 17 , 1942 -RRB- is an American director , producer , screenwriter , and film historian , whose career spans more than 50 years .|Commission may refer to :",NOT ENOUGH INFO
Brock Lesnar married Randy Couture.,"In November 2008 , Lesnar defeated Randy Couture to become the UFC Heavyweight Champion .",REFUTES
Snowden's cast includes two actors born in 1934.,"Edward Joseph Snowden -LRB- born June 21 , 1983 -RRB- is an American computer professional , former Central Intelligence Agency -LRB- CIA -RRB- employee , and former contractor for the United States government who copied and leaked classified information from the National Security Agency -LRB- NSA -RRB- in 2013 without authorization .|Edward Joseph Snowden -LRB- born June 21 , 1983 -RRB- is an American computer professional , former Central Intelligence Agency -LRB- CIA -RRB- employee , and former contractor for the United States government who copied and leaked classified information from the National Security Agency -LRB- NSA -RRB- in 2013 without authorization .|The Two Coreys -LRB- also known as The Coreys -RRB- were two actors , popular in the 1980s , Corey Feldman -LRB- born 1971 -RRB- and Corey Haim -LRB- 1971 -- 2010 -RRB- .|",NOT ENOUGH INFO
Tiger Woods had an uncontested victory at the Arnold Palmer Invitational.,"Eldrick Tont `` Tiger '' Woods -LRB- born December 30 , 1975 -RRB- is an American professional golfer who is among the most successful golfers of all time .|The Arnold Palmer Invitational is a professional golf tournament in Florida on the PGA Tour .",NOT ENOUGH INFO
The Khmer Empire was not weak.,"The Khmer Empire , officially the Angkor Empire , the predecessor state to modern Cambodia -LRB- `` Kampuchea '' or `` Srok Khmer '' to the Khmer people -RRB- , was a powerful Hindu-Buddhist empire in Southeast Asia .",SUPPORTS
On the Road (film) premiered at a film festival.,"On May 23 , 2012 , the film premiered in competition for the Palme d'Or at the 2012 Cannes Film Festival .",SUPPORTS
Bob Dylan has been inducted into four different colleges.,"Bob Dylan -LRB- -LSB- ˈdɪlən -RSB- born Robert Allen Zimmerman ; May 24 , 1941 -RRB- is an American poetic songwriter , singer , painter , writer , and Nobel prize laureate .|A college -LRB- Latin : collegium -RRB- is an educational institution or a constituent part of one .",NOT ENOUGH INFO
Paramore's co-founders left the band in March 2010.,It is their first full-length album released after the departure of co-founders Josh and Zac Farro in 2010 .,SUPPORTS
Peter Davison has been in a BBC show.,He became famous as Tristan Farnon in the BBC 's television adaptation of James Herriot 's All Creatures Great and Small stories .,SUPPORTS
"21 Jump Street was released June 16, 2012.","It was released theatrically on March 16 , 2012 , by Columbia Pictures and Metro-Goldwyn-Mayer and grossed $ 201 million .",REFUTES
"The collections of the Philadelphia Museum of Art contain over 240,000 objects.","The museum administers collections containing over 240,000 objects including major holdings of European , American and Asian origin .",SUPPORTS
Dustin Hoffman is an award-winning actor.,", for which he won a Theatre World Award and a Drama Desk Award .|Dustin Lee Hoffman -LRB- born August 8 , 1937 -RRB- is an American actor and a director , with a career in film , television , and theatre since 1960 .|Widely considered one of the finest actors in history , Hoffman first drew critical praise for starring in the play , Eh ?",SUPPORTS
T. J. Miller was featured in Deadpool 2.,"It is the eighth installment and a spin-off in the X-Men film series , and stars Ryan Reynolds as the titular character , as well as Morena Baccarin , Ed Skrein , T. J. Miller , Gina Carano , Leslie Uggams , Brianna Hildebrand , and Stefan Kapičić .",SUPPORTS
